repo,policy,tau,n_prs,conflicts,obs_conflicts,avoided_pct,new_conflicts,added_delay_days,delay_days_per_pr,makespan_days,makespan_inflation_pct
marin-community/marin,predictor,0.5,27,13,13,0.0,0,0.0,0.0,42.90979166666667,0.0
marin-community/marin,predictor,0.65,27,13,13,0.0,0,0.0,0.0,42.90979166666667,0.0
marin-community/marin,predictor,0.8,27,13,13,0.0,0,0.0,0.0,42.90979166666667,0.0
microsoft/vscode-mssql,observed,,28,47,47,0.0,0,0.0,0.0,46.49761574074074,0.0
microsoft/vscode-mssql,fifo,,28,0,47,100.0,0,1979.9279050925925,70.71171089616402,148.49093749999997,219.3517240280639
microsoft/vscode-mssql,oracle,,28,0,47,100.0,0,387.7785532407408,13.84923404431217,77.22149305555557,66.07624245966417
microsoft/vscode-mssql,predictor,0.1,28,0,47,100.0,0,1979.9279050925925,70.71171089616402,148.49093749999997,219.3517240280639
microsoft/vscode-mssql,predictor,0.15,28,0,47,100.0,0,1979.9279050925925,70.71171089616402,148.49093749999997,219.3517240280639
microsoft/vscode-mssql,predictor,0.2,28,0,47,100.0,0,1979.9279050925925,70.71171089616402,148.49093749999997,219.3517240280639
microsoft/vscode-mssql,predictor,0.25,28,6,47,87.23404255319149,3,866.4459374999997,30.944497767857133,110.8422222222222,138.38259329306507
microsoft/vscode-mssql,predictor,0.3,28,13,47,72.34042553191489,0,519.4004513888889,18.550016121031742,93.81408564814814,101.76106700014982
microsoft/vscode-mssql,predictor,0.4,28,31,47,34.04255319148936,1,125.69966435185184,4.489273726851851,61.90163194444443,33.128615216730026
microsoft/vscode-mssql,predictor,0.5,28,42,47,10.638297872340424,0,14.821932870370368,0.5293547453703703,50.64899305555556,8.928150935656296
microsoft/vscode-mssql,predictor,0.65,28,47,47,0.0,0,0.0,0.0,46.49761574074074,0.0
microsoft/vscode-mssql,predictor,0.8,28,47,47,0.0,0,0.0,0.0,46.49761574074074,0.0
VerisimilitudeX/DNAnalyzer,observed,,31,151,151,0.0,0,0.0,0.0,22.07988425925926,0.0
VerisimilitudeX/DNAnalyzer,fifo,,31,0,151,100.0,0,4604.334583333334,148.5269220430108,219.7340740740741,895.1776535328894
VerisimilitudeX/DNAnalyzer,oracle,,31,0,151,100.0,0,2659.0153124999993,85.77468749999997,157.60079861111106,613.7754743665412
VerisimilitudeX/DNAnalyzer,predictor,0.1,31,0,151,100.0,0,4604.334583333334,148.5269220430108,219.7340740740741,895.1776535328894
VerisimilitudeX/DNAnalyzer,predictor,0.15,31,0,151,100.0,0,4604.334583333334,148.5269220430108,219.7340740740741,895.1776535328894
VerisimilitudeX/DNAnalyzer,predictor,0.2,31,0,151,100.0,0,4604.334583333334,148.5269220430108,219.7340740740741,895.1776535328894
VerisimilitudeX/DNAnalyzer,predictor,0.25,31,2,151,98.67549668874172,0,3964.236354166667,127.87859206989248,197.66245370370373,795.2150807620898
VerisimilitudeX/DNAnalyzer,predictor,0.3,31,8,151,94.70198675496688,0,2823.221712962962,91.07166816009556,154.3977893518518,599.2690158106453
VerisimilitudeX/DNAnalyzer,predictor,0.4,31,56,151,62.913907284768214,0,632.5303124999999,20.404203629032256,88.07498842592592,298.89243707874704
VerisimilitudeX/DNAnalyzer,predictor,0.5,31,71,151,52.980132450331126,0,462.77976851851855,14.92837962962963,88.06133101851852,298.8305825542983
VerisimilitudeX/DNAnalyzer,predictor,0.65,31,98,151,35.09933774834437,2,154.21649305555556,4.9747255824372765,44.154641203703704,99.97677834378746
VerisimilitudeX/DNAnalyzer,predictor,0.8,31,105,151,30.4635761589404,1,88.0278125,2.8396068548387094,44.15273148148148,99.96812919418232
openai/codex,observed,,31,58,58,0.0,0,0.0,0.0,66.07152777777777,0.0
openai/codex,fifo,,31,0,58,100.0,0,512.7421990740742,16.54007093787336,89.49928240740742,35.45816998272778
openai/codex,oracle,,31,0,58,100.0,0,308.4788310185185,9.950930032855435,88.07871527777779,33.30812566347499
openai/codex,predictor,0.1,31,0,58,100.0,0,512.7421990740742,16.54007093787336,89.49928240740742,35.45816998272778
openai/codex,predictor,0.15,31,0,58,100.0,0,512.7421990740742,16.54007093787336,89.49928240740742,35.45816998272778
openai/codex,predictor,0.2,31,0,58,100.0,0,512.7421990740742,16.54007093787336,89.49928240740742,35.45816998272778
openai/codex,predictor,0.25,31,1,58,98.27586206896552,0,402.86748842592607,12.995725433094387,89.49928240740742,35.45816998272778
openai/codex,predictor,0.3,31,2,58,96.55172413793105,0,367.4366898148149,11.85279644563919,89.49928240740742,35.45816998272778
openai/codex,predictor,0.4,31,5,58,91.3793103448276,0,340.2347916666668,10.975315860215058,89.35483796296297,35.23955169236485
openai/codex,predictor,0.5,31,28,58,51.72413793103448,1,117.5549074074075,3.792093787335726,77.20729166666668,16.85410382266694
openai/codex,predictor,0.65,31,42,58,27.58620689655172,2,21.192245370370397,0.6836208183990451,68.21376157407407,3.242294931489091
openai/codex,predictor,0.8,31,58,58,0.0,0,0.0,0.0,66.07152777777777,0.0
langfuse/langfuse,observed,,33,3,3,0.0,0,0.0,0.0,67.06011574074074,0.0
langfuse/langfuse,fifo,,33,0,3,100.0,0,5.138339120370369,0.1557072460718293,67.06011574074074,0.0
langfuse/langfuse,oracle,,33,0,3,100.0,0,0.0417187499999997,0.0012642045454545,67.06011574074074,0.0
langfuse/langfuse,predictor,0.1,33,0,3,100.0,0,5.138339120370369,0.1557072460718293,67.06011574074074,0.0
langfuse/langfuse,predictor,0.15,33,0,3,100.0,0,5.138339120370369,0.1557072460718293,67.06011574074074,0.0
langfuse/langfuse,predictor,0.2,33,0,3,100.0,0,5.138339120370369,0.1557072460718293,67.06011574074074,0.0
langfuse/langfuse,predictor,0.25,33,0,3,100.0,0,5.101180555555552,0.1545812289562288,67.06011574074074,0.0
langfuse/langfuse,predictor,0.3,33,2,3,33.333333333333336,1,4.292297453703704,0.1300696198092031,67.06011574074074,0.0
langfuse/langfuse,predictor,0.4,33,1,3,66.66666666666667,0,0.0990914351851856,0.0030027707631874,67.06011574074074,0.0
langfuse/langfuse,predictor,0.5,33,1,3,66.66666666666667,0,0.0314641203703715,0.0009534581930415,67.06011574074074,0.0
langfuse/langfuse,predictor,0.65,33,3,3,0.0,0,0.0,0.0,67.06011574074074,0.0
langfuse/langfuse,predictor,0.8,33,3,3,0.0,0,0.0,0.0,67.06011574074074,0.0
celestiaorg/docs,observed,,33,98,98,0.0,0,0.0,0.0,55.18372685185185,0.0
celestiaorg/docs,fifo,,33,0,98,100.0,0,480.8706481481482,14.571837822671156,55.1902199074074,0.0117662505342988
celestiaorg/docs,oracle,,33,0,98,100.0,0,152.6393981481482,4.625436307519642,55.1902199074074,0.0117662505342988
celestiaorg/docs,predictor,0.1,33,0,98,100.0,0,480.8706481481482,14.571837822671156,55.1902199074074,0.0117662505342988
celestiaorg/docs,predictor,0.15,33,0,98,100.0,0,480.8706481481482,14.571837822671156,55.1902199074074,0.0117662505342988
celestiaorg/docs,predictor,0.2,33,0,98,100.0,0,480.8706481481482,14.571837822671156,55.1902199074074,0.0117662505342988
celestiaorg/docs,predictor,0.25,33,0,98,100.0,0,477.5597453703706,14.471507435465776,55.1902199074074,0.0117662505342988
celestiaorg/docs,predictor,0.3,33,16,98,83.6734693877551,0,508.922337962963,15.421889029180695,55.1902199074074,0.0117662505342988
celestiaorg/docs,predictor,0.4,33,74,98,24.489795918367346,0,244.7971180555556,7.418094486531988,55.1902199074074,0.0117662505342988
celestiaorg/docs,predictor,0.5,33,75,98,23.46938775510204,0,244.72958333333335,7.41604797979798,55.1902199074074,0.0117662505342988
celestiaorg/docs,predictor,0.65,33,101,98,-3.061224489795918,7,5.7213773148148155,0.1733750701459035,55.18372685185185,0.0
celestiaorg/docs,predictor,0.8,33,98,98,0.0,2,2.15787037037037,0.0653900112233445,55.18372685185185,0.0
microsoft/react-native-windows,observed,,33,109,109,0.0,0,0.0,0.0,49.458888888888886,0.0
microsoft/react-native-windows,fifo,,33,0,109,100.0,0,10578.442916666669,320.55887626262626,488.4243518518518,887.5360381611364
