repo,pr_a,pr_b,status,sha_a,sha_b,merge_base,conflict,n_conflict_files,conflict_files,n_shared_src,cross_agent,secs,note
mochilang/mochi,4206,4207,clean,4276a3b8ed84b8aeaa19255cd3103052e800f4e4,493740dac6b9815b6eed3e0492d7fbcbc9d7ef2a,33dfe70b706d5566feb351d7cf4ec3769c8fdc33,False,0,,1,False,0.03,
mochilang/mochi,4216,4217,clean,875d385e8485877298bea00ed1f344489dfb7193,09c857edc0382767b8c8999c41d12cace8b72b35,33dfe70b706d5566feb351d7cf4ec3769c8fdc33,False,0,,1,False,0.32,
mochilang/mochi,4233,4234,clean,b1351674263b075cafdc02b64f499442b309bc6a,afec1e1f3033fe8af2419d3dd1d61f7d032d1589,63a09d9c9a0183a54e36c544decbc0ea1c7e64ec,False,0,,1,False,0.39,
mochilang/mochi,4233,4236,clean,b1351674263b075cafdc02b64f499442b309bc6a,c9ef9aea685c465a299c8d002fb31edff0b91598,63a09d9c9a0183a54e36c544decbc0ea1c7e64ec,False,0,,1,False,0.31,
mochilang/mochi,4233,4238,clean,b1351674263b075cafdc02b64f499442b309bc6a,812e79bc36e330ac5dbe2c9db083e060ff540fb8,63a09d9c9a0183a54e36c544decbc0ea1c7e64ec,False,0,,1,False,0.31,
mochilang/mochi,4233,4240,clean,b1351674263b075cafdc02b64f499442b309bc6a,e9336cd5019523a5d79d2e007a662e6da32ac9ed,63a09d9c9a0183a54e36c544decbc0ea1c7e64ec,False,0,,1,False,0.31,
mochilang/mochi,4270,4272,clean,5856dd610c142576777ab674c0b0b0cac9ee5785,b3cd5b80808009ecbfd507b99055d29a49d2194f,54d954725abc7a29270b4fcd9ba66bf58c5b5ee0,False,0,,1,False,0.32,
mochilang/mochi,4270,4277,clean,5856dd610c142576777ab674c0b0b0cac9ee5785,31ebf3dfc2bc595419715ef6c40fdbc006f50720,54d954725abc7a29270b4fcd9ba66bf58c5b5ee0,False,0,,1,False,0.3,
mochilang/mochi,4272,4277,clean,b3cd5b80808009ecbfd507b99055d29a49d2194f,31ebf3dfc2bc595419715ef6c40fdbc006f50720,54d954725abc7a29270b4fcd9ba66bf58c5b5ee0,False,0,,1,False,0.03,
mochilang/mochi,4270,4279,clean,5856dd610c142576777ab674c0b0b0cac9ee5785,f132b2414ce34e0f5d38cc72971b165f1536e4dc,54d954725abc7a29270b4fcd9ba66bf58c5b5ee0,False,0,,1,False,0.38,
mochilang/mochi,4272,4279,clean,b3cd5b80808009ecbfd507b99055d29a49d2194f,f132b2414ce34e0f5d38cc72971b165f1536e4dc,54d954725abc7a29270b4fcd9ba66bf58c5b5ee0,False,0,,1,False,0.03,
mochilang/mochi,4277,4279,clean,31ebf3dfc2bc595419715ef6c40fdbc006f50720,f132b2414ce34e0f5d38cc72971b165f1536e4dc,54d954725abc7a29270b4fcd9ba66bf58c5b5ee0,False,0,,1,False,0.02,
mochilang/mochi,4270,4280,clean,5856dd610c142576777ab674c0b0b0cac9ee5785,e703211d1cc71ce4bf6d78336c0576406edcda1f,54d954725abc7a29270b4fcd9ba66bf58c5b5ee0,False,0,,1,False,0.34,
mochilang/mochi,4272,4280,clean,b3cd5b80808009ecbfd507b99055d29a49d2194f,e703211d1cc71ce4bf6d78336c0576406edcda1f,54d954725abc7a29270b4fcd9ba66bf58c5b5ee0,False,0,,1,False,0.03,
mochilang/mochi,4277,4280,clean,31ebf3dfc2bc595419715ef6c40fdbc006f50720,e703211d1cc71ce4bf6d78336c0576406edcda1f,54d954725abc7a29270b4fcd9ba66bf58c5b5ee0,False,0,,1,False,0.03,
