repo,n,pos,auc_llm,auc_tfidf,auc_jac,auc_ov
ComposioHQ/composio,36,0.4444444444444444,0.865625,0.6625,0.55625,0.2046875
different-ai/zero-finance,45,0.35555555555555557,0.875,0.697198275862069,0.5323275862068966,0.540948275862069
synth-inc/onit,13,0.3076923076923077,0.8888888888888888,0.75,0.7916666666666666,0.8611111111111112
onflow/flow-go,19,0.2631578947368421,0.9214285714285714,0.9142857142857143,0.9714285714285714,0.5785714285714286
seasonedcc/remix-forms,24,0.375,0.9407407407407408,0.5407407407407407,0.8296296296296296,0.4703703703703704
imbhargav5/rooks,70,0.05714285714285714,0.9431818181818182,0.4583333333333333,0.5378787878787878,0.5606060606060606
wealthsimple/llm-gateway,13,0.9230769230769231,0.9583333333333334,0.3333333333333333,0.3333333333333333,0.8333333333333334
MontrealAI/AGI-Alpha-Agent-v0,200,0.085,0.960623593699775,0.5255544840887174,0.48858887817422053,0.43410478945676634
elixr-games/elics,35,0.4,0.9625850340136054,0.7448979591836735,0.5969387755102041,0.7619047619047619
dotCMS/core,56,0.8392857142857143,0.9739952718676123,0.9858156028368794,1.0,0.9893617021276596
kern/filepizza,13,0.23076923076923078,1.0,0.6333333333333333,0.5666666666666667,0.18333333333333332
StarRocks/starrocks,12,0.08333333333333333,1.0,0.5454545454545454,0.9090909090909091,0.5909090909090909
dartsim/dart,11,0.09090909090909091,1.0,1.0,1.0,0.0
hyperlight-dev/hyperlight,13,0.38461538461538464,1.0,0.975,0.4375,0.375
timmo001/system-bridge,21,0.3333333333333333,1.0,0.673469387755102,0.5918367346938775,0.8877551020408163
wcandillon/react-native-webgpu,10,0.1,1.0,1.0,0.9444444444444444,0.2222222222222222
near/nearcore,200,0.985,1.0,1.0,0.9864636209813875,0.5702199661590525
wvlet/airframe,83,0.012048192771084338,1.0,1.0,1.0,0.012195121951219513
